occ_code,occ_title,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline,oews_occ_title,oews_emp,oews_a_mean,oews_h_mean,oews_a_median,oews_h_median,oews_a_pct10,oews_a_pct25,oews_a_pct75,oews_a_pct90,oews_oews_year
19-4021,      Biological technicians,82.7,85.6,3.5,9.1,1.7,7.1,10.4,0.0034525143570969252,Biological Technicians,76190.0,58020.0,27.89,52000.0,25.0,38060.0,45380.0,66410.0,81990.0,2024
19-4031,      Chemical technicians,57.0,59.0,3.7,6.7,1.1,5.5,11.3,0.0034545709304283356,Chemical Technicians,55640.0,61300.0,29.47,57790.0,27.78,39030.0,46680.0,72940.0,90990.0,2024
19-4040,      Environmental science and geoscience technicians,53.4,55.1,3.2,7.3,1.2,5.9,13.2,0.0031388128083864597,Environmental Science and Geoscience Technicians,52030.0,57470.0,27.63,49690.0,23.89,35730.0,38920.0,64950.0,88500.0,2024
19-4042,"        Environmental science and protection technicians, including health",40.4,42.1,4.0,5.6,0.9,4.5,13.2,0.004130301854529339,"Environmental Science and Protection Technicians, Including Health",39390.0,56770.0,27.29,49490.0,23.79,36130.0,38050.0,64170.0,85630.0,2024
19-4043,"        Geological technicians, except hydrologic technicians",9.8,10.0,1.5,1.3,0.2,1.1,13.2,0.0020223128536482893,"Geological Technicians, Except Hydrologic Technicians",9710.0,58220.0,27.99,48390.0,23.27,32830.0,39200.0,64470.0,92210.0,2024
19-4044,        Hydrologic technicians,3.1,3.0,-2.1,0.4,0.1,0.3,13.2,-0.0032736122908676446,Hydrologic Technicians,2940.0,64410.0,30.97,58570.0,28.16,40330.0,47450.0,79790.0,94310.0,2024
19-4051,      Nuclear technicians,6.0,5.5,-7.7,0.7,0.1,0.6,13.2,-0.008663392355479416,Nuclear Technicians,5990.0,100730.0,48.43,104240.0,50.11,64370.0,83330.0,113710.0,126890.0,2024
19-4061,      Social science research assistants,40.6,42.3,4.4,5.2,1.0,4.1,12.2,0.004110326258867536,Social Science Research Assistants,32940.0,63560.0,30.56,58040.0,27.9,36410.0,46190.0,73060.0,100620.0,2024
19-4071,      Forest and conservation technicians,33.8,32.7,-3.2,3.9,0.8,3.3,12.2,-0.0033031051640285414,Forest and Conservation Technicians,31080.0,56660.0,27.24,54310.0,26.11,36190.0,42560.0,66020.0,80790.0,2024
19-4090,"      Miscellaneous life, physical, and social science technicians",103.9,109.5,5.4,13.5,2.5,10.5,12.2,0.005263368224957654,"Miscellaneous Life, Physical, and Social Science Technicians",90840.0,66910.0,32.17,61570.0,29.6,38320.0,47370.0,79360.0,102280.0,2024
19-4092,        Forensic science technicians,20.7,23.3,12.8,2.9,0.5,2.2,12.2,0.0119022406288265,Forensic Science Technicians,19450.0,75260.0,36.18,67440.0,32.42,45560.0,53310.0,88710.0,110710.0,2024
19-4099,"        Life, physical, and social science technicians, all other",83.2,86.2,3.5,10.6,2.0,8.3,12.2,0.003548564283141653,"Life, Physical, and Social Science Technicians, All Other",71400.0,64640.0,31.08,60130.0,28.91,37310.0,46270.0,77990.0,101870.0,2024
19-5000,    Occupational health and safety specialists and technicians,163.7,183.0,11.7,18.3,3.2,13.2,9.4,0.01120740447436952,Occupational Health and Safety Specialists and Technicians,159880.0,83770.0,40.27,78900.0,37.93,47790.0,59620.0,101490.0,127140.0,2024
19-5011,      Occupational health and safety specialists,131.9,148.4,12.5,14.9,2.6,10.6,9.4,0.011856464290619373,Occupational Health and Safety Specialists,128430.0,88660.0,42.63,83910.0,40.34,50610.0,64410.0,105390.0,130460.0,2024
19-5012,      Occupational health and safety technicians,31.9,34.6,8.5,3.4,0.6,2.5,9.4,0.008157862718873199,Occupational Health and Safety Technicians,31450.0,63800.0,30.67,58440.0,28.1,40550.0,49510.0,74810.0,94670.0,2024
21-0000,  Community and social service occupations,3196.9,3409.2,6.6,313.7,133.0,159.5,8.9,0.006450321234015677,Community and Social Service Occupations,2569630.0,63030.0,30.31,57530.0,27.66,37710.0,45700.0,75080.0,96710.0,2024
21-1000,"    Counselors, social workers, and other community and social service specialists",2707.5,2913.8,7.6,265.8,108.8,136.3,8.7,0.007370264816671135,"Counselors, Social Workers, and Other Community and Social Service Specialists",2477920.0,62980.0,30.28,57480.0,27.64,37830.0,45750.0,75090.0,96620.0,2024
21-1010,      Counselors,1098.6,1212.8,10.4,104.4,41.5,51.5,8.0,0.009938572198321616,Counselors,970870.0,66370.0,31.91,60200.0,28.94,39090.0,47350.0,78230.0,100680.0,2024
21-1012,"        Educational, guidance, and career counselors and advisors",376.3,389.6,3.5,31.0,12.8,16.8,7.7,0.0034794266171092048,"Educational, Guidance, and Career Counselors and Advisors",342350.0,71520.0,34.38,65140.0,31.32,43580.0,51690.0,83490.0,105870.0,2024
21-1013,        Marriage and family therapists,77.8,87.7,12.6,7.7,3.7,3.0,8.1,0.012050070904197296,Marriage and Family Therapists,65870.0,72720.0,34.96,63780.0,30.66,42610.0,48600.0,85020.0,111610.0,2024
21-1015,        Rehabilitation counselors,91.9,93.2,1.4,10.0,4.9,5.0,10.6,0.0014056562429041186,Rehabilitation Counselors,88930.0,51260.0,24.64,46110.0,22.17,34480.0,38700.0,59040.0,77200.0,2024
21-1018,"        Substance abuse, behavioral disorder, and mental health counselors",483.5,564.6,16.8,48.3,17.2,23.0,7.7,0.0156274715839686,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",440380.0,65100.0,31.3,59190.0,28.46,39090.0,47170.0,76230.0,98210.0,2024
21-1019,"        Counselors, all other",69.1,77.8,12.6,7.4,2.9,3.7,9.0,0.011929262838229704,"Counselors, All Other",33340.0,58070.0,27.92,49830.0,23.96,36160.0,42760.0,66510.0,91420.0,2024
21-1020,      Social workers,810.9,855.6,5.5,74.0,32.4,37.1,8.3,0.005380245340260936,Social Workers,759740.0,67050.0,32.23,61330.0,29.49,41580.0,48680.0,78500.0,99500.0,2024
21-1021,"        Child, family, and school social workers",399.9,413.3,3.4,35.1,15.5,18.2,8.3,0.003301358084916828,"Child, Family, and School Social Workers",382960.0,62920.0,30.25,58570.0,28.16,40580.0,47480.0,74060.0,94030.0,2024
21-1022,        Healthcare social workers,193.2,208.1,7.7,18.4,7.3,9.6,8.4,0.007456946740760362,Healthcare Social Workers,185940.0,72030.0,34.63,68090.0,32.74,45030.0,55360.0,83410.0,100870.0,2024
21-1023,        Mental health and substance abuse social workers,136.8,150.1,9.7,13.5,6.8,5.4,8.5,0.009321349022573644,Mental Health and Substance Abuse Social Workers,125910.0,68290.0,32.83,60060.0,28.88,39620.0,46550.0,78980.0,104130.0,2024
21-1029,"        Social workers, all other",81.0,84.1,3.9,7.0,2.7,3.9,8.1,0.003762802864531123,"Social Workers, All Other",64940.0,74680.0,35.91,69480.0,33.4,44530.0,52010.0,95390.0,112740.0,2024
21-1090,      Miscellaneous community and social service specialists,798.0,845.4,5.9,87.4,35.0,47.7,10.1,0.00578680832808276,Miscellaneous Community and Social Service Specialists,747300.0,54460.0,26.18,48790.0,23.46,35130.0,40340.0,61990.0,80260.0,2024
21-1091,        Health education specialists,71.8,75.0,4.5,7.9,3.4,4.2,10.3,0.004369883966396815,Health Education Specialists,65150.0,71700.0,34.47,63000.0,30.29,42210.0,49880.0,84460.0,112900.0,2024
21-1092,        Probation officers and correctional treatment specialists,92.3,94.8,2.6,7.9,2.7,5.0,8.2,0.002676101158401334,Probation Officers and Correctional Treatment Specialists,86820.0,71530.0,34.39,64520.0,31.02,45390.0,52580.0,84030.0,106290.0,2024
21-1093,        Social and human service assistants,449.6,478.5,6.4,50.6,20.2,27.5,10.3,0.0062492367402606774,Social and Human Service Assistants,424220.0,47090.0,22.64,45120.0,21.69,33280.0,37770.0,53040.0,63850.0,2024
21-1094,        Community health workers,65.1,72.5,11.3,7.8,3.2,4.0,10.3,0.010824365357480659,Community Health Workers,60730.0,55970.0,26.91,51030.0,24.54,37930.0,44370.0,63150.0,78560.0,2024
21-1099,"        Community and social service specialists, all other",119.2,124.7,4.6,13.1,5.6,7.0,10.3,0.0045209988225034525,"Community and Social Service Specialists, All Other",110390.0,58360.0,28.06,54940.0,26.41,36470.0,45420.0,67590.0,83210.0,2024
21-2000,    Religious workers,489.4,495.4,1.2,47.9,24.2,23.2,9.6,0.0012192793220426879,Religious Workers,91710.0,64360.0,30.94,58570.0,28.16,35140.0,43400.0,74750.0,98600.0,2024
21-2011,      Clergy,262.0,264.6,1.0,23.0,11.9,10.8,8.6,0.0009879625057300778,Clergy,58080.0,67160.0,32.29,60820.0,29.24,37140.0,47220.0,76340.0,99720.0,2024
21-2021,"      Directors, religious activities and education",138.9,141.8,2.1,13.8,6.3,7.3,9.7,0.0020684727781170587,"Directors, Religious Activities and Education",21460.0,65040.0,31.27,54840.0,26.37,33990.0,42210.0,74990.0,106530.0,2024
21-2099,"      Religious workers, all other",88.4,89.0,0.6,11.1,6.0,5.1,12.5,0.0006766688459922676,"Religious Workers, All Other",12170.0,49830.0,23.96,45120.0,21.69,29120.0,34700.0,60310.0,75920.0,2024
23-0000,  Legal occupations,1418.2,1456.5,2.7,83.8,32.3,47.6,5.6,0.002668337244556618,Legal Occupations,1273410.0,137680.0,66.19,99990.0,48.07,47110.0,62410.0,170520.0,,2024
23-1000,"    Lawyers, judges, and related workers",933.2,970.4,4.0,34.4,17.0,13.6,3.2,0.003916531390452116,"Lawyers, Judges, and Related Workers",810640.0,177570.0,85.37,144040.0,69.25,65610.0,97730.0,212100.0,,2024
23-1010,      Lawyers and judicial law clerks,879.3,915.5,4.1,32.5,16.0,12.9,3.2,0.0040425720119894315,Lawyers and Judicial Law Clerks,760970.0,180790.0,86.92,148600.0,71.44,67920.0,98810.0,214490.0,,2024
23-1011,        Lawyers,864.8,900.7,4.1,31.5,15.7,12.2,3.2,0.004075680333043952,Lawyers,747750.0,182760.0,87.86,151160.0,72.67,72780.0,99760.0,215420.0,,2024
23-1012,        Judicial law clerks,14.5,14.9,2.5,1.0,0.4,0.6,6.8,0.0027249623314336002,Judicial Law Clerks,13220.0,69850.0,33.58,60400.0,29.04,42000.0,49840.0,78060.0,113150.0,2024
23-1020,"      Judges, magistrates, and other judicial workers",53.9,54.9,1.8,1.8,1.0,0.8,3.2,0.0018399777455406774,"Judges, Magistrates, and Other Judicial Workers",49670.0,128190.0,61.63,123220.0,59.24,48950.0,68900.0,175040.0,210890.0,2024
23-1021,"        Administrative law judges, adjudicators, and hearing officers",17.5,17.4,-0.7,0.5,0.3,0.2,3.2,-0.000572903299097427,"Administrative Law Judges, Adjudicators, and Hearing Officers",16230.0,122620.0,58.95,115230.0,55.4,56970.0,76920.0,161290.0,203990.0,2024
23-1022,"        Arbitrators, mediators, and conciliators",9.1,9.5,4.3,0.3,0.2,0.1,3.2,0.004311004266992269,"Arbitrators, Mediators, and Conciliators",7860.0,91170.0,43.83,67710.0,32.55,46200.0,60030.0,101010.0,133480.0,2024
23-1023,"        Judges, magistrate judges, and magistrates",27.3,28.0,2.5,0.9,0.5,0.4,3.2,0.0025349884618970364,"Judges, Magistrate Judges, and Magistrates",25580.0,143110.0,68.8,156210.0,75.1,46520.0,86060.0,189890.0,216540.0,2024
23-2000,    Legal support workers,484.9,486.1,0.2,49.4,15.3,34.0,10.2,0.0002471985425358536,Legal Support Workers,462770.0,67810.0,32.6,60930.0,29.3,39280.0,47950.0,78680.0,100950.0,2024
23-2011,      Paralegals and legal assistants,376.2,376.8,0.2,39.3,12.0,27.2,10.4,0.00015937528241893872,Paralegals and Legal Assistants,367220.0,66510.0,31.98,61010.0,29.33,39710.0,48190.0,78280.0,98990.0,2024
23-2090,      Miscellaneous legal support workers,108.7,109.3,0.5,10.2,3.4,6.8,9.3,0.0005506116364994984,Miscellaneous Legal Support Workers,95550.0,72800.0,35.0,60550.0,29.11,38170.0,46950.0,81390.0,130510.0,2024
23-2093,"        Title examiners, abstractors, and searchers",57.4,58.5,2.0,5.4,1.7,3.6,9.2,0.0019000478989854575,"Title Examiners, Abstractors, and Searchers",48170.0,59600.0,28.65,54980.0,26.43,36710.0,45020.0,70290.0,87240.0,2024
23-2099,"        Legal support workers, all other",51.3,50.7,-1.2,4.7,1.6,3.2,9.4,-0.0011757923717901075,"Legal Support Workers, All Other",47380.0,86220.0,41.45,68760.0,33.06,41510.0,50960.0,103460.0,176950.0,2024
25-0000,  Educational instruction and library occupations,9813.2,9875.4,0.6,890.3,439.8,444.3,9.0,0.000632039468043244,Educational Instruction and Library Occupations,8947710.0,65900.0,31.69,59220.0,28.47,30790.0,39870.0,78250.0,104360.0,2024
25-1000,    Postsecondary teachers,1721.2,1822.1,5.9,136.4,68.9,57.4,7.1,0.005713053608938701,Postsecondary Teachers,1396300.0,102410.0,,81600.0,,47010.0,61300.0,125900.0,180630.0,2024
25-1011,"      Business teachers, postsecondary",103.1,109.0,5.7,8.1,4.1,3.4,7.1,0.0055803616551128865,"Business Teachers, Postsecondary",81780.0,113840.0,,97270.0,,46460.0,63040.0,140360.0,210530.0,2024
25-1020,"      Math and computer science teachers, postsecondary",103.7,107.4,3.6,7.9,4.1,3.4,7.1,0.0035119592119376986,"Math and Computer Science Teachers, Postsecondary",85060.0,98400.0,,82390.0,,48470.0,62160.0,124840.0,168080.0,2024
25-1021,"        Computer science teachers, postsecondary",44.8,47.2,5.3,3.5,1.8,1.5,7.1,0.005232215798865125,"Computer Science Teachers, Postsecondary",36240.0,105830.0,,96690.0,,48910.0,65200.0,132200.0,172380.0,2024
25-1022,"        Mathematical science teachers, postsecondary",58.9,60.2,2.3,4.4,2.3,1.9,7.1,0.002185510920742484,"Mathematical Science Teachers, Postsecondary",48820.0,92880.0,,79350.0,,48150.0,60880.0,106270.0,161020.0,2024
25-1030,"      Engineering and architecture teachers, postsecondary",62.0,66.3,7.0,5.0,2.5,2.1,7.1,0.006728083759440562,"Engineering and Architecture Teachers, Postsecondary",49030.0,117670.0,,105690.0,,59690.0,79300.0,135710.0,184300.0,2024
25-1031,"        Architecture teachers, postsecondary",11.6,11.9,2.0,0.9,0.5,0.4,7.1,0.0025565927242487962,"Architecture Teachers, Postsecondary",9120.0,110360.0,,101480.0,,59590.0,78090.0,129310.0,166720.0,2024
25-1032,"        Engineering teachers, postsecondary",50.3,54.4,8.1,4.1,2.0,1.7,7.1,0.007866688746854145,"Engineering Teachers, Postsecondary",39910.0,119340.0,,106120.0,,59790.0,80060.0,136400.0,200650.0,2024
25-1040,"      Life sciences teachers, postsecondary",78.3,83.6,6.8,6.3,3.1,2.6,7.1,0.006571087188415259,"Life Sciences Teachers, Postsecondary",63270.0,100900.0,,83920.0,,50520.0,64140.0,125210.0,167290.0,2024
25-1041,"        Agricultural sciences teachers, postsecondary",10.7,11.2,4.1,0.8,0.4,0.4,7.1,0.004577448338847434,"Agricultural Sciences Teachers, Postsecondary",8700.0,97790.0,,86350.0,,49080.0,63980.0,123290.0,160870.0,2024
25-1042,"        Biological science teachers, postsecondary",66.0,70.8,7.3,5.4,2.7,2.2,7.1,0.007045126826922932,"Biological Science Teachers, Postsecondary",53250.0,101340.0,,83460.0,,50760.0,64010.0,125310.0,169560.0,2024
25-1043,"        Forestry and conservation science teachers, postsecondary",1.6,1.7,4.0,0.1,0.1,0.1,7.1,0.00608087609791208,"Forestry and Conservation Science Teachers, Postsecondary",1310.0,103780.0,,100830.0,,58670.0,81380.0,125080.0,154630.0,2024
25-1050,"      Physical sciences teachers, postsecondary",65.5,67.1,2.5,4.9,2.6,2.1,7.1,0.002416304703804828,"Physical Sciences Teachers, Postsecondary",52580.0,105460.0,,95520.0,,53030.0,65540.0,129500.0,173630.0,2024
25-1051,"        Atmospheric, earth, marine, and space sciences teachers, postsecondary",14.0,14.4,2.6,1.0,0.6,0.5,7.1,0.0028210594169006953,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",11480.0,112950.0,,101390.0,,53310.0,66620.0,135500.0,199260.0,2024
25-1052,"        Chemistry teachers, postsecondary",25.4,26.0,2.2,1.9,1.0,0.8,7.1,0.0023374640190714224,"Chemistry Teachers, Postsecondary",20390.0,103030.0,,86220.0,,52870.0,64980.0,125920.0,171600.0,2024
25-1053,"        Environmental science teachers, postsecondary",9.0,9.3,2.9,0.7,0.4,0.3,7.1,0.003284364025308628,"Environmental Science Teachers, Postsecondary",7130.0,100360.0,,87710.0,,50670.0,64360.0,124680.0,164290.0,2024
25-1054,"        Physics teachers, postsecondary",17.1,17.5,2.5,1.3,0.7,0.6,7.1,0.0023149170345992953,"Physics Teachers, Postsecondary",13590.0,105460.0,,97360.0,,54880.0,66730.0,130150.0,169740.0,2024
25-1060,"      Social sciences teachers, postsecondary",151.2,155.2,2.7,11.3,6.0,5.0,7.1,0.0026145263285730636,"Social Sciences Teachers, Postsecondary",121090.0,100440.0,,83360.0,,48980.0,63260.0,123760.0,171090.0,2024
25-1061,"        Anthropology and archeology teachers, postsecondary",6.5,6.7,2.7,0.5,0.3,0.2,7.1,0.003035131662900259,"Anthropology and Archeology Teachers, Postsecondary",5260.0,102530.0,,95770.0,,51380.0,67410.0,122870.0,169090.0,2024
25-1062,"        Area, ethnic, and cultural studies teachers, postsecondary",14.5,14.8,2.4,1.1,0.6,0.5,7.1,0.0020499514176648415,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11430.0,97350.0,,84290.0,,51130.0,64320.0,107810.0,164650.0,2024
25-1063,"        Economics teachers, postsecondary",15.8,16.1,2.1,1.2,0.6,0.5,7.1,0.0018827032602100058,"Economics Teachers, Postsecondary",12420.0,133140.0,,119980.0,,57550.0,80850.0,166600.0,217160.0,2024
25-1064,"        Geography teachers, postsecondary",4.0,4.2,3.3,0.3,0.2,0.1,7.1,0.004890938198511829,"Geography Teachers, Postsecondary",3290.0,99020.0,,86730.0,,49990.0,66400.0,120220.0,164350.0,2024
25-1065,"        Political science teachers, postsecondary",21.8,22.2,2.0,1.6,0.9,0.7,7.1,0.0018198858942466423,"Political Science Teachers, Postsecondary",17170.0,105160.0,,94680.0,,50490.0,65330.0,127480.0,173380.0,2024
25-1066,"        Psychology teachers, postsecondary",52.5,54.4,3.6,4.0,2.1,1.7,7.1,0.0035614252841549288,"Psychology Teachers, Postsecondary",41610.0,93530.0,,80330.0,,47870.0,62290.0,106640.0,158900.0,2024
25-1067,"        Sociology teachers, postsecondary",15.4,15.7,2.1,1.1,0.6,0.5,7.1,0.001931182629353545,"Sociology Teachers, Postsecondary",12380.0,97270.0,,82540.0,,49330.0,64130.0,113000.0,167240.0,2024
25-1069,"        Social sciences teachers, postsecondary, all other",20.7,21.1,1.7,1.5,0.8,0.7,7.1,0.001915766761850124,"Social Sciences Teachers, Postsecondary, All Other",17540.0,92950.0,,75040.0,,45280.0,59550.0,105390.0,176350.0,2024
25-1070,"      Health teachers, postsecondary",381.2,446.6,17.2,36.0,16.1,13.4,7.1,0.01595993747789759,"Health Teachers, Postsecondary",303970.0,125490.0,,100370.0,,50700.0,66140.0,161410.0,228330.0,2024
25-1071,"        Health specialties teachers, postsecondary",289.6,339.7,17.3,27.4,12.2,10.2,7.1,0.016084201755103722,"Health Specialties Teachers, Postsecondary",229720.0,137900.0,,105620.0,,51760.0,74400.0,176090.0,,2024
25-1072,"        Nursing instructors and teachers, postsecondary",91.6,106.9,16.8,8.6,3.9,3.2,7.1,0.015566164617414335,"Nursing Instructors and Teachers, Postsecondary",74250.0,87090.0,,79940.0,,47950.0,62210.0,102020.0,130040.0,2024
25-1080,"      Education and library science teachers, postsecondary",80.0,81.8,2.2,5.9,3.1,2.6,7.1,0.002227538178501076,"Education and Library Science Teachers, Postsecondary",63190.0,78870.0,,73050.0,,39070.0,51490.0,96340.0,126420.0,2024
25-1081,"        Education teachers, postsecondary",74.9,76.5,2.1,5.6,2.9,2.5,7.1,0.0021159204378411456,"Education Teachers, Postsecondary",59090.0,78500.0,,72090.0,,38650.0,50630.0,96260.0,126450.0,2024
25-1082,"        Library science teachers, postsecondary",5.1,5.3,3.0,0.4,0.2,0.2,7.1,0.003854035851848625,"Library Science Teachers, Postsecondary",4100.0,84320.0,,78630.0,,53590.0,62130.0,97020.0,126200.0,2024
25-1110,"      Law, criminal justice, and social work teachers, postsecondary",62.9,64.2,2.2,4.7,2.5,2.1,7.1,0.0020477985803872834,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",49710.0,109320.0,,87870.0,,47790.0,63010.0,131060.0,204930.0,2024
25-1111,"        Criminal justice and law enforcement teachers, postsecondary",16.2,16.5,2.0,1.2,0.6,0.5,7.1,0.001836598351406149,"Criminal Justice and Law Enforcement Teachers, Postsecondary",13560.0,84820.0,,71470.0,,45640.0,56100.0,99730.0,143130.0,2024
25-1112,"        Law teachers, postsecondary",29.5,30.2,2.2,2.2,1.2,1.0,7.1,0.0023479181564514118,"Law Teachers, Postsecondary",22800.0,139950.0,,126650.0,,58330.0,84540.0,173580.0,,2024
25-1113,"        Social work teachers, postsecondary",17.1,17.5,2.3,1.3,0.7,0.6,7.1,0.0023149170345992953,"Social Work Teachers, Postsecondary",13350.0,81880.0,,76210.0,,45370.0,57080.0,98570.0,129280.0,2024
25-1120,"      Arts, communications, history, and humanities teachers, postsecondary",309.2,312.1,0.9,22.4,12.1,10.1,7.1,0.0009339691341418987,"Arts, Communications, History, and Humanities Teachers, Postsecondary",248620.0,94900.0,,79060.0,,47260.0,60520.0,105820.0,165110.0,2024
25-1121,"        Art, drama, and music teachers, postsecondary",122.8,124.8,1.7,9.0,4.8,4.0,7.1,0.0016168497165132134,"Art, Drama, and Music Teachers, Postsecondary",97890.0,102240.0,,80190.0,,47040.0,60730.0,121600.0,194530.0,2024
25-1122,"        Communications teachers, postsecondary",35.8,36.6,2.1,2.7,1.4,1.2,7.1,0.002212478626810288,"Communications Teachers, Postsecondary",29260.0,90340.0,,77800.0,,47100.0,60060.0,103230.0,160210.0,2024
25-1123,"        English language and literature teachers, postsecondary",72.2,72.2,0.0,5.1,2.8,2.3,7.1,0.0,"English Language and Literature Teachers, Postsecondary",59590.0,90400.0,,78270.0,,47540.0,59780.0,103730.0,154800.0,2024
25-1124,"        Foreign language and literature teachers, postsecondary",26.4,26.4,-0.2,1.9,1.0,0.9,7.1,0.0,"Foreign Language and Literature Teachers, Postsecondary",21170.0,87670.0,,77010.0,,47090.0,59790.0,101680.0,134960.0,2024
25-1125,"        History teachers, postsecondary",24.6,24.6,-0.2,1.7,1.0,0.8,7.1,0.0,"History Teachers, Postsecondary",19860.0,93710.0,,81500.0,,47730.0,62370.0,106770.0,158140.0,2024
25-1126,"        Philosophy and religion teachers, postsecondary",27.3,27.5,0.7,2.0,1.1,0.9,7.1,0.0007301967120740827,"Philosophy and Religion Teachers, Postsecondary",20840.0,88210.0,,78050.0,,47550.0,60980.0,101680.0,134910.0,2024
25-1190,      Miscellaneous postsecondary teachers,324.2,328.9,1.4,23.7,12.7,10.6,7.1,0.0014403506994316029,Miscellaneous Postsecondary Teachers,278000.0,83780.0,,68800.0,,39260.0,50180.0,100740.0,150860.0,2024
25-1192,"        Family and consumer sciences teachers, postsecondary",3.2,3.3,3.4,0.2,0.1,0.1,7.1,0.003081905201553825,"Family and Consumer Sciences Teachers, Postsecondary",2630.0,84450.0,,77280.0,,47580.0,56870.0,99530.0,133180.0,2024
25-1193,"        Recreation and fitness studies teachers, postsecondary",15.4,15.7,2.4,1.1,0.6,0.5,7.1,0.001931182629353545,"Recreation and Fitness Studies Teachers, Postsecondary",12680.0,87980.0,,75890.0,,44150.0,57290.0,101420.0,158240.0,2024
25-1194,"        Career/technical education teachers, postsecondary",122.2,123.0,0.7,8.8,4.8,4.0,7.1,0.0006527438080712322,"Career/Technical Education Teachers, Postsecondary",111150.0,68710.0,33.03,61490.0,29.56,38680.0,48030.0,80070.0,106580.0,2024
25-1199,"        Postsecondary teachers, all other",183.4,186.8,1.8,13.5,7.2,6.0,7.1,0.0018385847252728738,"Postsecondary Teachers, All Other",151530.0,94470.0,,78490.0,,39720.0,55500.0,122510.0,172850.0,2024
25-2000,"    Preschool, elementary, middle, secondary, and special education teachers",4500.1,4453.2,-1.0,320.9,157.0,168.6,7.3,-0.0010471193754153507,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",4321590.0,68130.0,,61960.0,,39620.0,49540.0,79020.0,101290.0,2024
25-2010,      Preschool and kindergarten teachers,672.3,693.3,3.1,78.2,32.2,43.9,11.1,0.003080548815729278,Preschool and Kindergarten Teachers,559490.0,46680.0,22.44,40090.0,19.27,28810.0,34440.0,55780.0,73380.0,2024
25-2011,"        Preschool teachers, except special education",555.1,578.1,4.1,65.5,26.8,36.4,11.1,0.0040681110293832035,"Preschool Teachers, Except Special Education",445080.0,41450.0,19.93,37120.0,17.85,28300.0,31250.0,46550.0,60070.0,2024
25-2012,"        Kindergarten teachers, except special education",117.2,115.2,-1.6,12.8,5.5,7.5,11.1,-0.0017197324507135514,"Kindergarten Teachers, Except Special Education",114410.0,67020.0,,61430.0,,45750.0,50290.0,77720.0,99360.0,2024
25-2020,      Elementary and middle school teachers,2070.4,2029.9,-2.0,132.4,68.8,67.7,6.7,-0.001973579382822832,Elementary and Middle School Teachers,2027880.0,69860.0,,62500.0,,46620.0,51140.0,79400.0,101670.0,2024
25-2021,"        Elementary school teachers, except special education",1422.7,1394.8,-2.0,91.0,47.3,46.5,6.7,-0.001978583902678799,"Elementary School Teachers, Except Special Education",1393310.0,69790.0,,62340.0,,46440.0,50680.0,79410.0,102010.0,2024
25-2022,"        Middle school teachers, except special and career/technical education",633.7,621.3,-2.0,40.5,21.1,20.7,6.7,-0.00197420860753994,"Middle School Teachers, Except Special and Career/Technical Education",620370.0,70040.0,,62970.0,,47050.0,53540.0,79380.0,100980.0,2024
25-2023,"        Career/technical education teachers, middle school",14.0,13.8,-2.0,0.9,0.5,0.5,6.7,-0.0014378390627013404,"Career/Technical Education Teachers, Middle School",14200.0,68690.0,,63620.0,,47090.0,55920.0,78270.0,98430.0,2024
25-2030,      Secondary school teachers,1197.9,1178.2,-1.6,72.4,36.5,37.9,6.3,-0.0016568432821693069,Secondary School Teachers,1176990.0,73420.0,,64530.0,,47460.0,57950.0,82340.0,103860.0,2024
25-2031,"        Secondary school teachers, except special and career/technical education",1094.5,1076.7,-1.6,66.2,33.3,34.6,6.3,-0.0016383394683612273,"Secondary School Teachers, Except Special and Career/Technical Education",1072540.0,73700.0,,64580.0,,47330.0,57800.0,83010.0,104670.0,2024
25-2032,"        Career/technical education teachers, secondary school",103.4,101.5,-1.8,6.2,3.1,3.3,6.3,-0.0018528976210262504,"Career/Technical Education Teachers, Secondary School",104450.0,70550.0,,63910.0,,48840.0,58840.0,78650.0,98720.0,2024
25-2050,      Special education teachers,559.5,551.8,-1.4,37.8,19.4,19.2,6.9,-0.0013848268380248774,Special Education Teachers,557240.0,72230.0,,64270.0,,47380.0,57270.0,81510.0,103290.0,2024
25-2051,"        Special education teachers, preschool",29.3,29.7,1.4,2.1,1.0,1.0,6.9,0.0013568726984551915,"Special Education Teachers, Preschool",28200.0,72610.0,,62190.0,,38740.0,49370.0,81330.0,132530.0,2024
25-2052,"        Special education teachers, kindergarten and elementary school",230.2,226.1,-1.8,15.4,8.0,7.9,6.9,-0.0017954978620480233,"Special Education Teachers, Kindergarten and Elementary School",231570.0,70150.0,,63000.0,,47590.0,57050.0,79320.0,100620.0,2024
25-2057,"        Special education teachers, middle school",94.8,93.0,-1.9,6.3,3.3,3.2,6.9,-0.001915155355903253,"Special Education Teachers, Middle School",95330.0,72310.0,,64880.0,,48070.0,58590.0,81940.0,102730.0,2024
25-2058,"        Special education teachers, secondary school",164.2,161.5,-1.6,11.1,5.7,5.6,6.9,-0.0016566317038725353,"Special Education Teachers, Secondary School",162780.0,74610.0,,69590.0,,47930.0,58180.0,87140.0,106050.0,2024
