occ_code,occ_title,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
23-1011,        Lawyers,864.8,900.7,4.1,31.5,15.7,12.2,3.2,0.004075680333043952
23-1012,        Judicial law clerks,14.5,14.9,2.5,1.0,0.4,0.6,6.8,0.0027249623314336002
23-1020,"      Judges, magistrates, and other judicial workers",53.9,54.9,1.8,1.8,1.0,0.8,3.2,0.0018399777455406774
23-1021,"        Administrative law judges, adjudicators, and hearing officers",17.5,17.4,-0.7,0.5,0.3,0.2,3.2,-0.000572903299097427
23-1022,"        Arbitrators, mediators, and conciliators",9.1,9.5,4.3,0.3,0.2,0.1,3.2,0.004311004266992269
23-1023,"        Judges, magistrate judges, and magistrates",27.3,28.0,2.5,0.9,0.5,0.4,3.2,0.0025349884618970364
23-2000,    Legal support workers,484.9,486.1,0.2,49.4,15.3,34.0,10.2,0.0002471985425358536
23-2011,      Paralegals and legal assistants,376.2,376.8,0.2,39.3,12.0,27.2,10.4,0.00015937528241893872
23-2090,      Miscellaneous legal support workers,108.7,109.3,0.5,10.2,3.4,6.8,9.3,0.0005506116364994984
23-2093,"        Title examiners, abstractors, and searchers",57.4,58.5,2.0,5.4,1.7,3.6,9.2,0.0019000478989854575
23-2099,"        Legal support workers, all other",51.3,50.7,-1.2,4.7,1.6,3.2,9.4,-0.0011757923717901075
25-0000,  Educational instruction and library occupations,9813.2,9875.4,0.6,890.3,439.8,444.3,9.0,0.000632039468043244
25-1000,    Postsecondary teachers,1721.2,1822.1,5.9,136.4,68.9,57.4,7.1,0.005713053608938701
25-1011,"      Business teachers, postsecondary",103.1,109.0,5.7,8.1,4.1,3.4,7.1,0.0055803616551128865
25-1020,"      Math and computer science teachers, postsecondary",103.7,107.4,3.6,7.9,4.1,3.4,7.1,0.0035119592119376986
25-1021,"        Computer science teachers, postsecondary",44.8,47.2,5.3,3.5,1.8,1.5,7.1,0.005232215798865125
25-1022,"        Mathematical science teachers, postsecondary",58.9,60.2,2.3,4.4,2.3,1.9,7.1,0.002185510920742484
25-1030,"      Engineering and architecture teachers, postsecondary",62.0,66.3,7.0,5.0,2.5,2.1,7.1,0.006728083759440562
25-1031,"        Architecture teachers, postsecondary",11.6,11.9,2.0,0.9,0.5,0.4,7.1,0.0025565927242487962
25-1032,"        Engineering teachers, postsecondary",50.3,54.4,8.1,4.1,2.0,1.7,7.1,0.007866688746854145
25-1040,"      Life sciences teachers, postsecondary",78.3,83.6,6.8,6.3,3.1,2.6,7.1,0.006571087188415259
25-1041,"        Agricultural sciences teachers, postsecondary",10.7,11.2,4.1,0.8,0.4,0.4,7.1,0.004577448338847434
25-1042,"        Biological science teachers, postsecondary",66.0,70.8,7.3,5.4,2.7,2.2,7.1,0.007045126826922932
25-1043,"        Forestry and conservation science teachers, postsecondary",1.6,1.7,4.0,0.1,0.1,0.1,7.1,0.00608087609791208
25-1050,"      Physical sciences teachers, postsecondary",65.5,67.1,2.5,4.9,2.6,2.1,7.1,0.002416304703804828
25-1051,"        Atmospheric, earth, marine, and space sciences teachers, postsecondary",14.0,14.4,2.6,1.0,0.6,0.5,7.1,0.0028210594169006953
25-1052,"        Chemistry teachers, postsecondary",25.4,26.0,2.2,1.9,1.0,0.8,7.1,0.0023374640190714224
25-1053,"        Environmental science teachers, postsecondary",9.0,9.3,2.9,0.7,0.4,0.3,7.1,0.003284364025308628
25-1054,"        Physics teachers, postsecondary",17.1,17.5,2.5,1.3,0.7,0.6,7.1,0.0023149170345992953
25-1060,"      Social sciences teachers, postsecondary",151.2,155.2,2.7,11.3,6.0,5.0,7.1,0.0026145263285730636
25-1061,"        Anthropology and archeology teachers, postsecondary",6.5,6.7,2.7,0.5,0.3,0.2,7.1,0.003035131662900259
25-1062,"        Area, ethnic, and cultural studies teachers, postsecondary",14.5,14.8,2.4,1.1,0.6,0.5,7.1,0.0020499514176648415
25-1063,"        Economics teachers, postsecondary",15.8,16.1,2.1,1.2,0.6,0.5,7.1,0.0018827032602100058
25-1064,"        Geography teachers, postsecondary",4.0,4.2,3.3,0.3,0.2,0.1,7.1,0.004890938198511829
25-1065,"        Political science teachers, postsecondary",21.8,22.2,2.0,1.6,0.9,0.7,7.1,0.0018198858942466423
25-1066,"        Psychology teachers, postsecondary",52.5,54.4,3.6,4.0,2.1,1.7,7.1,0.0035614252841549288
25-1067,"        Sociology teachers, postsecondary",15.4,15.7,2.1,1.1,0.6,0.5,7.1,0.001931182629353545
25-1069,"        Social sciences teachers, postsecondary, all other",20.7,21.1,1.7,1.5,0.8,0.7,7.1,0.001915766761850124
25-1070,"      Health teachers, postsecondary",381.2,446.6,17.2,36.0,16.1,13.4,7.1,0.01595993747789759
25-1071,"        Health specialties teachers, postsecondary",289.6,339.7,17.3,27.4,12.2,10.2,7.1,0.016084201755103722
25-1072,"        Nursing instructors and teachers, postsecondary",91.6,106.9,16.8,8.6,3.9,3.2,7.1,0.015566164617414335
25-1080,"      Education and library science teachers, postsecondary",80.0,81.8,2.2,5.9,3.1,2.6,7.1,0.002227538178501076
25-1081,"        Education teachers, postsecondary",74.9,76.5,2.1,5.6,2.9,2.5,7.1,0.0021159204378411456
25-1082,"        Library science teachers, postsecondary",5.1,5.3,3.0,0.4,0.2,0.2,7.1,0.003854035851848625
25-1110,"      Law, criminal justice, and social work teachers, postsecondary",62.9,64.2,2.2,4.7,2.5,2.1,7.1,0.0020477985803872834
25-1111,"        Criminal justice and law enforcement teachers, postsecondary",16.2,16.5,2.0,1.2,0.6,0.5,7.1,0.001836598351406149
25-1112,"        Law teachers, postsecondary",29.5,30.2,2.2,2.2,1.2,1.0,7.1,0.0023479181564514118
25-1113,"        Social work teachers, postsecondary",17.1,17.5,2.3,1.3,0.7,0.6,7.1,0.0023149170345992953
25-1120,"      Arts, communications, history, and humanities teachers, postsecondary",309.2,312.1,0.9,22.4,12.1,10.1,7.1,0.0009339691341418987
25-1121,"        Art, drama, and music teachers, postsecondary",122.8,124.8,1.7,9.0,4.8,4.0,7.1,0.0016168497165132134
25-1122,"        Communications teachers, postsecondary",35.8,36.6,2.1,2.7,1.4,1.2,7.1,0.002212478626810288
25-1123,"        English language and literature teachers, postsecondary",72.2,72.2,0.0,5.1,2.8,2.3,7.1,0.0
25-1124,"        Foreign language and literature teachers, postsecondary",26.4,26.4,-0.2,1.9,1.0,0.9,7.1,0.0
25-1125,"        History teachers, postsecondary",24.6,24.6,-0.2,1.7,1.0,0.8,7.1,0.0
25-1126,"        Philosophy and religion teachers, postsecondary",27.3,27.5,0.7,2.0,1.1,0.9,7.1,0.0007301967120740827
25-1190,      Miscellaneous postsecondary teachers,324.2,328.9,1.4,23.7,12.7,10.6,7.1,0.0014403506994316029
25-1192,"        Family and consumer sciences teachers, postsecondary",3.2,3.3,3.4,0.2,0.1,0.1,7.1,0.003081905201553825
25-1193,"        Recreation and fitness studies teachers, postsecondary",15.4,15.7,2.4,1.1,0.6,0.5,7.1,0.001931182629353545
25-1194,"        Career/technical education teachers, postsecondary",122.2,123.0,0.7,8.8,4.8,4.0,7.1,0.0006527438080712322
25-1199,"        Postsecondary teachers, all other",183.4,186.8,1.8,13.5,7.2,6.0,7.1,0.0018385847252728738
25-2000,"    Preschool, elementary, middle, secondary, and special education teachers",4500.1,4453.2,-1.0,320.9,157.0,168.6,7.3,-0.0010471193754153507
25-2010,      Preschool and kindergarten teachers,672.3,693.3,3.1,78.2,32.2,43.9,11.1,0.003080548815729278
25-2011,"        Preschool teachers, except special education",555.1,578.1,4.1,65.5,26.8,36.4,11.1,0.0040681110293832035
25-2012,"        Kindergarten teachers, except special education",117.2,115.2,-1.6,12.8,5.5,7.5,11.1,-0.0017197324507135514
25-2020,      Elementary and middle school teachers,2070.4,2029.9,-2.0,132.4,68.8,67.7,6.7,-0.001973579382822832
25-2021,"        Elementary school teachers, except special education",1422.7,1394.8,-2.0,91.0,47.3,46.5,6.7,-0.001978583902678799
25-2022,"        Middle school teachers, except special and career/technical education",633.7,621.3,-2.0,40.5,21.1,20.7,6.7,-0.00197420860753994
25-2023,"        Career/technical education teachers, middle school",14.0,13.8,-2.0,0.9,0.5,0.5,6.7,-0.0014378390627013404
25-2030,      Secondary school teachers,1197.9,1178.2,-1.6,72.4,36.5,37.9,6.3,-0.0016568432821693069
25-2031,"        Secondary school teachers, except special and career/technical education",1094.5,1076.7,-1.6,66.2,33.3,34.6,6.3,-0.0016383394683612273
25-2032,"        Career/technical education teachers, secondary school",103.4,101.5,-1.8,6.2,3.1,3.3,6.3,-0.0018528976210262504
25-2050,      Special education teachers,559.5,551.8,-1.4,37.8,19.4,19.2,6.9,-0.0013848268380248774
25-2051,"        Special education teachers, preschool",29.3,29.7,1.4,2.1,1.0,1.0,6.9,0.0013568726984551915
25-2052,"        Special education teachers, kindergarten and elementary school",230.2,226.1,-1.8,15.4,8.0,7.9,6.9,-0.0017954978620480233
25-2057,"        Special education teachers, middle school",94.8,93.0,-1.9,6.3,3.3,3.2,6.9,-0.001915155355903253
25-2058,"        Special education teachers, secondary school",164.2,161.5,-1.6,11.1,5.7,5.6,6.9,-0.0016566317038725353
25-2059,"        Special education teachers, all other",41.0,41.5,1.1,2.9,1.4,1.4,6.9,0.0012128709870569132
25-3000,    Other teachers and instructors,1337.7,1357.1,1.4,171.4,85.9,83.6,12.6,0.0014408719384890745
25-3011,"      Adult basic education, adult secondary education, and english as a second language instructors",40.9,35.3,-13.7,3.9,2.2,2.2,11.7,-0.014616831511761186
25-3021,      Self-enrichment teachers,417.5,433.0,3.7,51.4,24.9,24.9,11.7,0.0036519706249096284
25-3031,"      Substitute teachers, short-term",510.1,518.5,1.6,61.1,30.2,30.1,11.7,0.0016346588746751767
25-3041,      Tutors,215.5,216.8,0.6,37.1,19.5,17.4,17.1,0.0006016169010658601
25-3099,"      Teachers and instructors, all other",153.8,153.5,-0.1,18.0,9.0,9.0,11.7,-0.00019522994458276433
25-4000,"    Librarians, curators, and archivists",260.8,260.1,-0.3,31.2,16.9,14.4,12.0,-0.00026872964550783696
25-4010,"      Archivists, curators, and museum technicians",40.2,42.4,5.6,4.8,2.3,2.3,11.0,0.00534235642516534
25-4011,        Archivists,9.3,9.7,3.8,1.1,0.5,0.5,11.0,0.00422002788071052
25-4012,        Curators,15.1,16.2,7.0,1.8,0.9,0.9,11.0,0.007056429939100273
25-4013,        Museum technicians and conservators,15.7,16.5,5.4,1.9,0.9,0.9,11.0,0.0049823376261146635
25-4022,      Librarians and media collections specialists,142.1,144.5,1.7,13.5,7.6,5.7,9.2,0.0016762505849408083
25-4031,      Library technicians,78.6,73.2,-6.8,13.0,7.0,6.5,17.8,-0.007092357524168591
25-9000,    Other educational instruction and library occupations,1993.3,1982.9,-0.5,230.4,111.2,120.2,11.6,-0.0005229769122729877
25-9021,      Farm and home management educators,12.4,12.1,-2.5,1.1,0.6,0.5,9.2,-0.0024461053973526825
25-9031,      Instructional coordinators,232.6,235.5,1.3,21.9,11.5,10.1,9.2,0.001239835298276315
25-9040,      Teaching assistants,1616.3,1601.3,-0.9,195.0,92.6,103.9,12.2,-0.000931944178764299
25-9044,"        Teaching assistants, postsecondary",193.6,199.6,3.1,24.6,11.3,12.7,12.2,0.0030567813606403593
25-9045,"        Teaching assistants, except postsecondary",1422.8,1401.7,-1.5,170.4,81.3,91.2,12.2,-0.0014929819324767113
25-9099,"      Educational instruction and library workers, all other",132.0,134.0,1.5,12.5,6.5,5.7,9.2,0.0015049189922173856
27-0000,"  Arts, design, entertainment, sports, and media occupations",3021.1,3104.6,2.8,289.4,120.4,160.6,9.2,0.002730107888610833
27-1000,    Art and design workers,950.3,971.8,2.3,84.9,35.7,47.0,8.6,0.0022397342413276178
27-1010,      Artists and related workers,244.2,250.8,2.7,21.7,10.2,10.8,8.5,0.002670383848392799
27-1011,        Art directors,135.0,140.7,4.2,12.3,5.7,6.0,8.5,0.004144081625263363
27-1012,        Craft artists,11.6,11.9,2.1,1.0,0.5,0.5,8.5,0.0025565927242487962
27-1013,"        Fine artists, including painters, sculptors, and illustrators",26.5,26.2,-1.2,2.2,1.1,1.2,8.5,-0.0011378843406031347
27-1014,        Special effects artists and animators,57.1,58.0,1.6,5.0,2.4,2.5,8.5,0.0015651129011848841
27-1019,"        Artists and related workers, all other",13.9,14.0,0.8,1.2,0.6,0.6,8.5,0.0007171059454740281
27-1020,      Designers,706.1,721.0,2.1,63.2,25.5,36.2,8.6,0.002090408540068367
27-1021,        Commercial and industrial designers,30.6,31.6,3.2,2.5,0.9,1.5,7.7,0.003220887109224968
27-1022,        Fashion designers,25.7,26.2,2.0,2.3,0.9,1.4,8.7,0.0019286994392941903
27-1023,        Floral designers,43.8,41.2,-5.9,5.1,2.9,2.5,12.6,-0.006100869756057725
27-1024,        Graphic designers,265.9,271.5,2.1,20.0,6.5,13.0,7.2,0.0020863575338834206
27-1025,        Interior designers,87.1,89.9,3.2,7.8,3.5,4.0,8.4,0.0031691168283356497
27-1026,        Merchandise displayers and window trimmers,193.0,199.3,3.2,20.8,9.2,11.0,10.3,0.003217268164876108
27-1027,        Set and exhibit designers,31.3,32.0,2.3,2.5,0.9,1.5,7.6,0.0022142283162340792
27-1029,"        Designers, all other",28.6,29.2,2.0,2.2,0.8,1.4,7.6,0.0020783559386736705
27-2000,"    Entertainers and performers, sports and related workers",854.1,889.4,4.1,99.7,44.0,52.2,11.0,0.004058091356399229
27-2010,"      Actors, producers, and directors",223.9,232.4,3.8,19.1,6.3,12.0,8.0,0.003733000491892957
27-2011,        Actors,57.0,57.1,0.3,6.3,2.6,3.7,11.0,0.00017530024603407135
27-2012,        Producers and directors,167.0,175.2,4.9,12.8,3.7,8.3,7.0,0.004804943504325587
27-2020,"      Athletes, coaches, umpires, and related workers",344.9,366.6,6.3,48.5,22.0,24.3,13.0,0.006120334724412757
27-2021,        Athletes and sports competitors,19.1,20.2,5.5,2.1,0.5,1.6,10.3,0.0056151330278151335
27-2022,        Coaches and scouts,306.5,326.0,6.4,41.8,18.9,20.9,12.6,0.006187023649486312
27-2023,"        Umpires, referees, and other sports officials",19.3,20.4,5.7,4.6,2.6,1.8,22.6,0.005558371234028359
27-2030,      Dancers and choreographers,17.0,17.8,4.9,2.5,1.0,1.4,13.8,0.004609100702952285
27-2031,        Dancers,12.3,12.9,4.5,1.8,0.7,1.0,13.8,0.004774165082463533
27-2032,        Choreographers,4.6,4.9,6.1,0.7,0.3,0.4,13.8,0.006337890127213086
27-2040,"      Musicians, singers, and related workers",217.1,218.8,0.8,23.7,12.4,11.2,10.8,0.0007803036449709477
27-2041,        Music directors and composers,47.3,47.2,-0.3,4.3,1.9,2.4,9.1,-0.00021161789641133133
27-2042,        Musicians and singers,169.8,171.6,1.1,19.4,10.5,8.7,11.3,0.0010550474891064532
27-2090,"      Miscellaneous entertainers and performers, sports and related workers",51.2,53.9,5.3,5.8,2.3,3.3,10.6,0.005152322383460639
27-2091,"        Disc jockeys, except radio",15.4,16.0,3.8,1.5,0.6,0.8,9.0,0.0038294349024465824
27-2099,"        Entertainers and performers, sports and related workers, all other",35.8,38.0,6.0,4.4,1.7,2.4,11.3,0.00598164565159065
27-3000,    Media and communication workers,824.3,844.4,2.4,73.4,30.2,41.2,8.6,0.0024120818654651544
27-3011,      Broadcast announcers and radio disc jockeys,24.1,22.8,-5.5,2.3,1.1,1.3,10.5,-0.005529784595777909
27-3023,"      News analysts, reporters, and journalists",49.3,47.4,-3.9,4.1,2.0,2.4,9.0,-0.003922472164678226
27-3031,      Public relations specialists,315.9,331.0,4.8,27.6,9.0,17.1,8.1,0.004680184769349394
27-3040,      Writers and editors,307.6,313.7,2.0,27.7,12.5,14.6,8.7,0.001965617053956148
27-3041,        Editors,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
27-3042,        Technical writers,56.4,56.9,0.9,4.5,1.8,2.6,7.8,0.0008830078849468848
27-3043,        Writers and authors,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
27-3090,      Miscellaneous media and communication workers,127.4,129.5,1.7,11.6,5.6,5.8,8.9,0.001636251000356248
27-3091,        Interpreters and translators,75.3,76.6,1.7,6.9,3.8,3.0,9.0,0.0017131599787825191
27-3092,        Court reporters and simultaneous captioners,17.7,17.7,-0.3,1.7,0.9,0.8,9.5,0.0
27-3099,"        Media and communication workers, all other",34.3,35.3,2.7,3.0,1.0,2.0,8.4,0.0028778941861482554
27-4000,    Media and communication equipment workers,392.3,398.9,1.7,31.4,10.5,20.2,7.8,0.0016697831074563574
27-4010,"      Broadcast, sound, and lighting technicians",146.1,147.7,1.0,11.1,3.4,7.6,7.5,0.0010897804577278958
27-4011,        Audio and video technicians,92.3,95.4,3.3,7.3,2.2,4.8,7.5,0.0033089060779007973
27-4012,        Broadcast technicians,24.8,24.2,-2.8,1.8,0.6,1.3,7.5,-0.0024461053973526825
27-4014,        Sound engineering technicians,16.9,16.6,-1.7,1.2,0.4,0.9,7.5,-0.0017894896074134303
27-4015,        Lighting technicians,12.1,11.5,-4.6,0.8,0.3,0.6,7.5,-0.005072930727365588
27-4021,      Photographers,151.2,154.0,1.8,12.7,4.9,7.5,8.1,0.001836598351406149
27-4030,"      Television, video, and film camera operators and editors",79.9,82.1,2.7,6.4,1.8,4.4,7.7,0.002719908626529488
27-4031,"        Camera operators, television, video, and film",36.4,36.9,1.2,2.9,0.8,2.0,7.7,0.0013652086904740734
27-4032,        Film and video editors,43.5,45.2,4.0,3.6,1.0,2.4,7.7,0.0038409725750496726
27-4099,"      Media and communication equipment workers, all other",15.1,15.2,0.6,1.1,0.4,0.8,7.5,0.0006602862962223899
29-0000,  Healthcare practitioners and technical occupations,10067.5,10794.4,7.2,634.9,299.5,262.7,5.4,0.006995864262183016
29-1000,    Healthcare diagnosing or treating practitioners,6715.1,7241.6,7.8,363.3,182.4,128.2,4.5,0.007576906032034092
29-1011,      Chiropractors,57.2,62.6,9.5,2.8,1.8,0.4,3.7,0.00906195107173624
29-1020,      Dentists,149.3,155.2,4.0,4.5,3.3,0.6,2.6,0.003883210520310598
29-1021,"        Dentists, general",129.8,135.2,4.1,3.9,2.9,0.5,2.6,0.004084354266455481
29-1022,        Oral and maxillofacial surgeons,6.1,6.4,4.1,0.2,0.1,0.0,2.6,0.004812464809049732
29-1023,        Orthodontists,5.9,6.2,4.4,0.2,0.1,0.0,2.6,0.004972013755586424
29-1024,        Prosthodontists,0.9,0.9,4.5,0.0,0.0,0.0,2.6,0.0
29-1029,"        Dentists, all other specialists",6.6,6.6,0.3,0.2,0.1,0.0,2.6,0.0
29-1031,      Dietitians and nutritionists,90.9,95.9,5.5,6.2,3.1,2.6,6.1,0.005368959552724206
29-1041,      Optometrists,47.8,51.6,8.0,2.4,1.8,0.2,4.0,0.007678936261799274
29-1051,      Pharmacists,335.1,350.5,4.6,14.2,8.1,4.5,3.7,0.004503280602194293
29-1071,      Physician assistants,162.7,195.8,20.4,12.0,3.6,5.1,4.9,0.018691103704503886
29-1081,      Podiatrists,9.7,9.9,1.8,0.3,0.2,0.0,2.8,0.0020429711908409587
29-1120,      Therapists,869.4,975.3,12.2,53.5,22.6,20.3,4.6,0.011560491649752702
29-1122,        Occupational therapists,160.0,182.1,13.8,10.2,3.8,4.2,4.7,0.013022278022878808
29-1123,        Physical therapists,267.2,296.4,10.9,13.2,6.0,4.3,3.7,0.010425212948836027
29-1124,        Radiation therapists,19.2,19.6,1.9,0.9,0.4,0.4,4.4,0.0020640559571163397
29-1125,        Recreational therapists,16.1,16.6,3.3,1.3,0.6,0.7,7.6,0.00306302383746071
29-1126,        Respiratory therapists,139.6,156.4,12.1,8.8,4.0,3.1,4.8,0.011428374329460533
29-1127,        Speech-language pathologists,187.4,215.5,15.0,13.3,5.2,5.3,5.2,0.014069612277598509
29-1128,        Exercise physiologists,23.9,26.1,9.5,1.7,0.8,0.7,5.8,0.008844569637939559
29-1129,"        Therapists, all other",56.1,62.5,11.5,4.1,1.8,1.6,5.8,0.010861638329943135
29-1131,      Veterinarians,86.4,94.7,9.6,3.0,1.4,0.8,2.4,0.009214829953208437
29-1141,      Registered nurses,3391.0,3557.1,4.9,189.1,97.9,74.6,5.0,0.004793526666034831
29-1151,      Nurse anesthetists,53.8,58.5,8.6,2.7,1.3,1.0,4.0,0.008410499893997114
29-1161,      Nurse midwives,8.6,9.5,11.1,0.5,0.2,0.2,4.3,0.010002654971840164
29-1171,      Nurse practitioners,320.4,448.8,40.1,29.5,8.6,8.1,4.3,0.034275016267899305
29-1181,      Audiologists,15.8,17.3,9.5,0.7,0.4,0.1,3.2,0.009110910103807823
29-1210,      Physicians,785.6,807.7,2.8,22.3,16.7,3.4,2.5,0.002778146457192099
29-1211,        Anesthesiologists,45.3,46.7,3.2,1.3,1.0,0.2,2.5,0.0030483500168327904
29-1212,        Cardiologists,19.4,20.2,4.1,0.6,0.4,0.1,2.5,0.004049129496513482
29-1213,        Dermatologists,10.9,11.6,6.4,0.4,0.2,0.0,2.5,0.006243641664281485
29-1214,        Emergency medicine physicians,36.1,37.1,2.7,1.0,0.8,0.2,2.5,0.0027361468632109975
29-1215,        Family medicine physicians,116.0,119.1,2.7,3.3,2.5,0.5,2.5,0.0026408093357053186
29-1216,        General internal medicine physicians,73.2,75.6,3.3,2.1,1.6,0.3,2.5,0.003231295638480125
29-1217,        Neurologists,8.3,8.8,5.4,0.3,0.2,0.0,2.5,0.005866763108432149
29-1218,        Obstetricians and gynecologists,21.5,21.7,1.2,0.6,0.5,0.1,2.5,0.0009263613491539147
29-1221,"        Pediatricians, general",46.4,46.8,0.8,1.2,1.0,0.2,2.5,0.0008587428778499273
29-1222,"        Physicians, pathologists",12.6,13.1,4.2,0.4,0.3,0.1,2.5,0.0038991235049536943
29-1223,        Psychiatrists,27.1,28.8,6.1,0.9,0.6,0.1,2.5,0.006102712056631487
29-1224,        Radiologists,28.2,29.0,2.7,0.8,0.6,0.1,2.5,0.0028013015372101435
29-1229,"        Physicians, all other",340.7,349.3,2.5,9.6,7.2,1.5,2.5,0.002495992530299196
29-1240,      Surgeons,53.4,55.5,4.0,1.3,0.9,0.2,2.0,0.003864676154534896
29-1241,"        Ophthalmologists, except pediatric",12.5,13.1,4.3,0.3,0.2,0.1,2.0,0.004699366138741112
29-1242,"        Orthopedic surgeons, except pediatric",14.7,15.3,4.1,0.4,0.2,0.1,2.0,0.004008546276973446
29-1243,        Pediatric surgeons,1.1,1.1,1.5,0.0,0.0,0.0,2.0,0.0
29-1249,"        Surgeons, all other",25.1,26.0,3.9,0.6,0.4,0.1,2.0,0.003529081785279997
29-1290,      Miscellaneous healthcare diagnosing or treating practitioners,278.3,295.7,6.3,18.5,10.6,6.1,5.8,0.006083002604024612
29-1291,        Acupuncturists,15.3,16.4,6.8,0.9,0.6,0.2,4.9,0.006967008105559502
29-1292,        Dental hygienists,221.6,237.2,7.0,15.3,8.6,5.1,6.0,0.006826163997213142
29-1299,"        Healthcare diagnosing or treating practitioners, all other",41.3,42.2,2.0,2.4,1.4,0.8,5.4,0.002158097454860508
29-2000,    Health technologists and technicians,3205.6,3393.0,5.8,261.4,112.5,130.1,7.4,0.005697690993826665
29-2010,      Clinical laboratory technologists and technicians,351.2,357.2,1.7,22.6,11.0,11.0,6.2,0.001695434350512226
29-2030,      Diagnostic related technologists and technicians,451.5,478.8,6.1,26.1,12.3,11.1,5.0,0.005888026767636223
29-2031,        Cardiovascular technologists and technicians,64.7,66.6,3.0,3.8,1.8,1.7,5.4,0.0028985302430268867
29-2032,        Diagnostic medical sonographers,90.0,101.7,13.0,5.8,2.4,2.3,4.8,0.012296754216952754
29-2033,        Nuclear medicine technologists,20.0,20.6,3.0,0.9,0.4,0.4,4.3,0.002960253145653402
29-2034,        Radiologic technologists and technicians,228.0,237.8,4.3,12.9,6.4,5.5,5.1,0.004217303430661845
29-2035,        Magnetic resonance imaging technologists,44.1,47.2,7.1,2.6,1.2,1.1,4.9,0.006816538572481212
29-2036,        Medical dosimetrists,4.8,4.9,3.5,0.2,0.1,0.1,4.3,0.0020640559571163397
29-2040,      Emergency medical technicians and paramedics,282.9,297.2,5.0,19.0,6.2,11.4,6.1,0.004943361748307895
29-2042,        Emergency medical technicians,181.0,190.2,5.1,14.1,4.4,8.8,7.1,0.0049702226665226945
29-2043,        Paramedics,101.9,107.0,5.0,4.9,1.8,2.6,4.2,0.004895634071248711
29-2050,      Health practitioner support technologists and technicians,994.3,1088.4,9.5,102.8,38.5,54.9,9.0,0.009083510435624609
29-2051,        Dietetic technicians,30.9,31.7,2.5,4.0,1.7,2.2,12.7,0.00255931917804042
29-2052,        Pharmacy technicians,490.4,521.8,6.4,49.0,18.9,27.0,9.1,0.006225597784925041
29-2053,        Psychiatric technicians,144.5,173.3,20.0,15.9,5.4,7.6,8.2,0.01834062967855754
29-2055,        Surgical technologists,115.6,120.8,4.5,7.0,3.2,3.3,5.5,0.004409727284403031
29-2056,        Veterinary technologists and technicians,134.2,146.4,9.1,14.3,4.4,8.6,9.3,0.00873910263040134
29-2057,        Ophthalmic medical technicians,78.8,94.4,19.8,12.5,4.8,6.1,12.7,0.018226926800300136
29-2061,      Licensed practical and licensed vocational nurses,651.4,668.5,2.6,54.4,27.4,25.3,8.0,0.002594610560964883
29-2072,      Medical records specialists,194.8,208.6,7.1,14.2,7.1,5.8,6.4,0.006867992362391551
29-2081,"      Opticians, dispensing",79.9,82.2,2.9,6.8,3.4,3.1,8.0,0.002841975706840527
29-2090,      Miscellaneous health technologists and technicians,199.6,212.2,6.3,15.4,6.7,7.5,6.9,0.006140160202972034
29-2091,        Orthotists and prosthetists,10.1,11.5,13.3,0.9,0.4,0.4,6.9,0.0130657821879554
29-2092,        Hearing aid specialists,10.7,12.6,18.4,1.0,0.4,0.4,6.9,0.016479622594129273
29-2099,"        Health technologists and technicians, all other",178.8,188.1,5.2,13.6,6.0,6.7,6.9,0.005083464540590388
29-9000,    Other healthcare practitioners and technical occupations,146.7,159.8,8.9,10.2,4.5,4.3,5.8,0.008590019102978186
29-9021,      Health information technologists and medical registrars,41.9,48.1,14.7,3.2,1.3,1.3,5.8,0.013895289474091133
29-9090,      Miscellaneous health practitioners and technical workers,104.8,111.8,6.6,7.0,3.2,3.1,5.8,0.006486727156319816
29-9091,        Athletic trainers,33.9,37.6,11.1,2.4,1.1,1.0,5.8,0.010412742787239804
29-9092,        Genetic counselors,4.0,4.3,9.3,0.3,0.1,0.1,5.8,0.007258280705428666
29-9093,        Surgical assistants,25.3,26.6,5.1,1.6,0.8,0.7,5.8,0.005023256465932713
29-9099,"        Healthcare practitioners and technical workers, all other",41.7,43.1,3.6,2.6,1.3,1.2,5.8,0.003307645055799391
31-0000,  Healthcare support occupations,7982.8,8971.1,12.4,1286.7,618.4,569.4,14.0,0.011740289745039378
31-1100,"    Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",5881.6,6655.6,13.2,983.0,505.6,400.0,14.4,0.012439714693036175
31-1120,      Home health and personal care aides,4347.7,5087.5,17.0,765.8,403.9,288.0,14.7,0.01583807160535633
31-1130,"      Nursing assistants, orderlies, and psychiatric aides",1533.9,1568.1,2.2,217.1,101.7,112.0,13.8,0.0022075514248578454
31-1131,        Nursing assistants,1441.5,1474.0,2.3,204.1,96.3,104.5,13.8,0.0022320428742821363
31-1132,        Orderlies,54.0,55.8,3.3,7.8,3.2,4.4,13.8,0.003284364025308628
31-1133,        Psychiatric aides,38.5,38.3,-0.4,5.3,2.2,3.1,13.8,-0.0005206988999646445
31-2000,    Occupational therapy and physical therapist assistants and aides,211.5,246.9,16.7,34.3,11.6,19.2,13.4,0.015596210740597138
31-2010,      Occupational therapy assistants and aides,54.4,64.0,17.6,7.9,2.7,4.2,11.7,0.016384673297434205
